Track name,Artist name,Album,Playlist name,Type,ISRC,Apple - id
"Can't Pretend","Nyman","Can't Pretend - Single","All","Playlist","QZHN32450270","1734422144"
"Before We Say Goodbye (feat. Trella)","GhostDragon","Before We Say Goodbye (feat. Trella) - Single","All","Playlist","USA2P2421340","1741639059"
"Searching... (Cyberworld Pt. II)","MOKKAI","Searching... (Cyberworld Pt. II) - Single","All","Playlist","QZK6H2419717","1744175878"
"Springtime","Aika","Springtime - Single","All","Playlist","QZHNB2498608","1739445281"
"ギターと孤独と蒼い惑星","kessoku band","結束バンド","All","Playlist","JPE302201022","1657318765"
"Daisies","Linney","Daisies - Single","All","Playlist","QZUCN2201574","1735970692"
"Lie Awake","SadBois, Xyan & Donna Tella","Lie Awake - Single","All","Playlist","QZSYP2444652","1740842824"
"Galaxy Trip","DarTokki","Cotton Candy Vol. 2 - EP","All","Playlist","QM42K2015686","1506251882"
"Moments (Club Edit) [feat. クサカアキラ]","Mameyudoufu","encore plus chapitre 01 (feat. クサカアキラ)","All","Playlist","TCJPL2080018","1516972217"
"Dhalia","Ujico","Flowers","All","Playlist","USCGJ1808787","1727121488"
"Lustrous","Aika","Lustrous - Single","All","Playlist","QZFYY1996776","1469651319"
"Again","Couple N","Again - Single","All","Playlist","QMPKX1837940","1434600910"
"Panorama","PIKASONIC & ナツメ・アリー","Panorama - Single","All","Playlist","TCJPA2422517","1743393396"
"Aster","asuzora","Aster - Single","All","Playlist","CAENV2357864","1745391022"
"To Life","PLEEG & Moav","To Life - Single","All","Playlist","QZK6N2428912","1846496859"
"Never the Same","ARMNHMR & Kompany","The Mess We Made - EP","All","Playlist","CA5KR2452604","1745000086"
"Youth","BoySam & BrillLion","Youth - Single","All","Playlist","CAR072400108","1742050254"
"Losing You","yetep, Hoang & Linney","Losing You - Single","All","Playlist","CA5KR2382306","1710043922"
"To the Night Sky (feat. Nanahira)","DJ Genki","Vivid Refrain - EP","All","Playlist","TCJPA2421403","1743161619"
"Feel It","MK","Evolution Blue - EP","All","Playlist","GBKQU2439679","1742590225"
"Bloom","SadBois & UNDY","Bloom - Single","All","Playlist","QZTRX2429071","1743065568"
"I'm Alive","JONJEN, KENDRO & Daye","I'm Alive - Single","All","Playlist","USA2P2425072","1744460813"
"Home","culenasm","Home - Single","All","Playlist","JPP302400282","1740457542"
"Back To You","BrillLion & SUNHO","Back To You - Single","All","Playlist","USA2P2425073","1744461106"
"Pulsar","Nio","Pulsar - Single","All","Playlist","USDM32403701","1748209993"
"Cursed Lazer","The Herb Shop & WE DIE YOUNG","WE DIE YOUNG vol.4","All","Playlist","SE5752499030","1749361472"
"Quantize","R1cefarm & Yuura.","Quantize - Single","All","Playlist","TCJPA2461048","1749012572"
"Covert Love Affair","capo2","Covert Love Affair - Single","All","Playlist","TCJPA2462135","1749259136"
"Become an artificial flower","市瀬るぽ & 鏡音リン","Become an artificial flower - Single","All","Playlist","JP92Q2400566","1746283187"
"Turn Back Time","Novelbright","CIRCUS","All","Playlist","JPPO02400694","1733821855"
"Soulnova (feat. Kasane Teto)","Aika","Soulnova (feat. Kasane Teto) - Single","All","Playlist","QZMEM2481660","1746673248"
"Horizon Shift","RUQOA","Horizon Shift - Single","All","Playlist","QM6N22495453","1774686248"
"Moments","ARMNHMR & Z3LLA","Moments - Single","All","Playlist","CA6D22400280","1746416577"
"RESONANCE","Mwk & Hatsune Miku","RESONANCE - Single","All","Playlist","JP92Q2400603","1748935655"
"月並みに輝け","kessoku band","月並みに輝け / 今、僕、アンダーグラウンドから - Single","All","Playlist","JPE302400232","1747836028"
"Vivid Refrain","DJ Genki","Vivid Refrain - EP","All","Playlist","TCJPA2421394","1743161611"
"Upon a Star [Negaigoto]","nayuta","ArtemIs","All","Playlist","TCJPA2454794","1747869524"
"No Man's Dawn","Mayu Maeshima","TVアニメ「オーバーロードIV」エンディングテーマ「No Man's Dawn」 - EP","All","Playlist","JPD732200127","1634362775"
"Another Day","MitiS, HALIENE & Abandoned","Another Day - Single","All","Playlist","GBEWA2402710","1805973738"
"Live It With You","4URA, Falling North & Moav","Live It With You - Single","All","Playlist","QZMEQ2485195","1748716810"
"Hoshizora Memory (feat. yukacco)","DJ Genki","Vivid Refrain - EP","All","Playlist","TCJPA2421398","1743161613"
"One More Night","Red Handed Denial","A Journey Through Virtual Dystopia","All","Playlist","GBGLW2400169","1733687600"
"Nous on sait","Pierre Garnier","Chaque seconde","All","Playlist","FRZ052400148","1745148886"
"Instant Crush","Corbyn Kites","Matter of Time","All","Playlist","QZPLR2013179","1546448718"
"Popsicle Beach","nanobii","J - Neration 4","All","Playlist","CACWV2016964","1514222884"
"Retraced","NURKO & HALIENE","Retraced - Single","All","Playlist","QM24S2403803","1752521610"
"Waterfall","Rival & Linney","Waterfall - Single","All","Playlist","CA5KR2472884","1754657092"
"Iris","Mitchell Tenpenny","The 3rd","All","Playlist","US6XF2400096","1754200512"
"Edge of Your Heart","Au5 & TruFeelz","Edge of Your Heart - Single","All","Playlist","NL8RL2412015","1741607123"
"Ones I Used To Love (feat. JIM)","Seven Lions & Dabin","Ones I Used To Love (feat. JIM) - Single","All","Playlist","GBEWA2403580","1805936406"
"Memory Of You","HALIENE","Water - EP","All","Playlist","GBEWA2403820","1805922332"
"Pure.Luv","Motto Music, Android52 & WaMi","Pure.Luv - Single","All","Playlist","TCJPB2412198","1760033781"
"Division","YSS","Blue","All","Playlist","TCJPB2417569","1757366337"
"Panic","NOTD & Corbyn Besson","Panic - Single","All","Playlist","SEUM72401031","1757588496"
"Miss the Days","Monika Santucci","Atone - EP","All","Playlist","NL8RL2429286","1754274113"
"Ocean (feat. Luxtides)","Trivecta","Find My Way","All","Playlist","GBEWA2403570","1806757475"
"Ghost in the Shadows","ROY KNOX & Derpcat","Ghost in the Shadows - Single","All","Playlist","CA6D22400405","1755455427"
"Ghost of You","KEPIK & LYCA","Ghost of You - Single","All","Playlist","NL8RL2431153","1757462928"
"Better This Way","Taylor Kade & FIXION","Better This Way - Single","All","Playlist","CA5KR2471678","1757311077"
"Don't Love You","Cloudy Parallels & RUNN","Overcast - EP","All","Playlist","GBUM92400059","1771607803"
"Wherever You Are (feat. Shaun Farrugia)","Martin Garrix & DubVision","Wherever You Are (feat. Shaun Farrugia) - Single","All","Playlist","NLM5S2402226","1748045816"
"Unfinished Symphony","PAX JAPONICA GROOVE","Unvoid","All","Playlist","JPZ922403678","1750697800"
"B-Side Blues","Official鬍子男dism","Rejoice","All","Playlist","JPPC02411841","1754117753"
"strawberry","BUMP OF CHICKEN","strawberry - Single","All","Playlist","JPTF02419301","1759124517"
"Lost My Connections With You So Now It's All Tethered","Miraie","666666 - EP","All","Playlist","QZNWQ2462871","1749414008"
"rebellion","culenasm","rebellion - Single","All","Playlist","JPP302400406","1754109272"
"Russian Roulette","Porter Robinson","SMILE! :D","All","Playlist","USQE92400083","1740856396"
"Homewvard","PAX JAPONICA GROOVE","Nighttime Rendering","All","Playlist","JPZ922309296","1715863458"
"In the Night","PAX JAPONICA GROOVE","Nighttime Rendering","All","Playlist","JPZ922309297","1715863461"
"A Letter from You","PAX JAPONICA GROOVE","Nighttime Rendering","All","Playlist","JPZ922309298","1715863464"
"Sad raiSad Rainn","PAX JAPONICA GROOVE","Nighttime Rendering","All","Playlist","JPZ922309299","1715863466"
"Stargazer","PAX JAPONICA GROOVE","Nighttime Rendering","All","Playlist","JPZ922309300","1715863469"
"Cuffing","PAX JAPONICA GROOVE","Nighttime Rendering","All","Playlist","JPZ922309301","1715863472"
"Blue Piano","PAX JAPONICA GROOVE","Nighttime Rendering","All","Playlist","JPZ922309302","1715863480"
"Nostalgia","PAX JAPONICA GROOVE","Nighttime Rendering","All","Playlist","JPZ922309303","1715863482"
"End of Summer","PAX JAPONICA GROOVE","Nighttime Rendering","All","Playlist","JPZ922309304","1715863484"
"Breathe Life","PAX JAPONICA GROOVE","Nighttime Rendering","All","Playlist","JPZ922309305","1715863728"
"My Hometown","PAX JAPONICA GROOVE","Nighttime Rendering","All","Playlist","JPZ922309306","1715863734"
"Breathe Life (Night Beat Mix)","PAX JAPONICA GROOVE","Nighttime Rendering","All","Playlist","JPZ922309307","1715863741"
"Homeward (Instrumental)","PAX JAPONICA GROOVE","Nighttime Rendering","All","Playlist","JPZ922309308","1715863743"
"Cuffing (Instrumental)","PAX JAPONICA GROOVE","Nighttime Rendering","All","Playlist","JPZ922309309","1715863744"
"My Hometown (Instrumental)","PAX JAPONICA GROOVE","Nighttime Rendering","All","Playlist","JPZ922309310","1715863751"
"秒針少女","kessoku band","Re:結束バンド - EP","All","Playlist","JPE302400587","1759525335"
"Into the Limelight (feat. Danyka Nadeau)","Trivecta","Into the Limelight (feat. Danyka Nadeau) - Single","All","Playlist","CA6D21600107","1100639675"
"Beautiful (feat. Dia Frampton)","Said The Sky","Wide - Eyed","All","Playlist","USA2P1836876","1701059434"
"Rush over Me","Seven Lions, ILLENIUM, Said The Sky & HALIENE","Rush over Me - Single","All","Playlist","TCACS1613932","1700478965"
"Wild Ones","Jason Ross & Nevve","Convergence EP - EP","All","Playlist","GBEWA2102050","1806750994"
"Evergreen","NURKO & Jordan Shaw","United","All","Playlist","QM24S2404574","1758746452"
"By the Seaside (feat. Kitsui Akira)","Kirara Magic","By the Seaside (feat. Kitsui Akira) - Single","All","Playlist","QZTB22457077","1761090574"
"Levitate","Sowyn","Levitate - Single","All","Playlist","QZTB32485239","1761793096"
"ノンブレス (feat.狐子)","Adomiori","ノンブレス (feat.狐子) - Single","All","Playlist","CAGOO2488913","1764103595"
"M.I.A","Milkoi","M.I.A - Single","All","Playlist","UKZGC2402721","1736934483"
"Safe Space","Mameyudoufu","Exobolt 011","All","Playlist","QZMHM2400527","1761960527"
"Under The Sun","Stessie","Exobolt 011","All","Playlist","QZMHM2423728","1761960780"
"Stay With Me","voka, Miss Lina & Noctane","Exobolt 011","All","Playlist","QZS632467917","1761960782"
"Beneath the Surface","Mewnlight Rose","Exobolt 009","All","Playlist","QZMHM2271726","1636631734"
"Breakthrough","Rusherz","Exobolt 009","All","Playlist","QZS672260209","1636631737"
"Such Fun","Sowyn","Such Fun - Single","All","Playlist","QZNWU2473408","1751790099"
"Cometrail","Reku Mochizuki","VVD!! EP - Single","All","Playlist","JPW462436838","1763557207"
"Wide Awake","Between Cities","Wide Awake - Single","All","Playlist","NLA7J2400003","1765785845"
"Fit In","Fazzi & Josh Paulino","Fit In - Single","All","Playlist","QZTB92412803","1764716914"
"Knock Yourself Out XD","Porter Robinson","SMILE! :D","All","Playlist","USQE92400082","1740856394"
"夏の終わりに","Kei Morimoto","夏の終わりに - Single","All","Playlist","CALVP2417232","1767018587"
"talking to myself","dreamfone","postMANIC","All","Playlist","QZHNC2588911","1809927743"
"Take Your Light","HALIENE & NURKO","Water - EP","All","Playlist","GBEWA2404540","1805922331"
"Last Time","Jason Ross & Linney","Divergence - EP","All","Playlist","CA6D22400543","1763317541"
"YOU","Star Seed & Lexi Scatena","Magical Thinking","All","Playlist","GBEWA2403880","1805923197"
"Down Without U","ROY KNOX & CHOMPO","Down Without U - Single","All","Playlist","QZTB82486815","1764779740"
"Are You Happy Now","SABAI & Linney","Are You Happy Now - Single","All","Playlist","CA5KR2486767","1766284310"
"Modern Tragedy","Cheat Codes & Julia Church","Modern Tragedy - Single","All","Playlist","CA5KR2485548","1766828659"
"Sweet Dream (feat. Taobien)","Gravii & Kirara Magic","Sweet Dream - Single (feat. Taobien) - Single","All","Playlist","TCAIL2435998","1755683895"
"Love Is Gone","Tretone","Love Is Gone - Single","All","Playlist","QZTAU2447378","1758449648"
"Leave The Light On (feat. sød ven)","Trivecta","Find My Way","All","Playlist","GBEWA2404241","1806757465"
"Love Me (Not)","Cloudy Parallels & Nohc","Overcast - EP","All","Playlist","GBUM92400061","1771607802"
"Hide & Seek","Between Cities","Wide Awake - Single","All","Playlist","NLA7J2400002","1765785851"
"All We Get (feat. Daye)","Elephante & yetep","Forever Weather - EP","All","Playlist","QM24S2405455","1771055203"
"Children of the Sun","Alan Walker, Pritam & Vishal Mishra","Children of the Sun - Single","All","Playlist","INW262403900","1770009402"
"Over It","Cerus","Over It - Single","All","Playlist","USA2P2458592","1766199890"
"Dive Into You (feat. MEIKO)","Mwk","PIECE OF POPSTAR -DANCE- (feat. Hatsune Miku, 鏡音リン, 鏡音レン, Megurine Luka, MEIKO & KAITO) - EP","All","Playlist","JP92Q2401125","1768185907"
"Dream of Us (feat. おかゆ)","Fujiyori & EONI","Dream of Us (feat. おかゆ) - Single","All","Playlist","AUBEC2476383","1766869914"
"Shiny","ASU","Shiny - Single","All","Playlist","JPY392402222","1766247301"
"D0p1ng N1ght (Remaster) [feat. 鏡音リン]","Capchii","Kawaii Overdose","All","Playlist","CAHQJ2138013","1768185296"
"Lover Online","NOTD & Maia Wright","Lover Online - Single","All","Playlist","SEUM72401353","1767841900"
"sleepover","dreamfone","postMANIC","All","Playlist","QZHNC2588914","1809927760"
"Every Road","Monika Santucci","Atone - EP","All","Playlist","NL8RL2429287","1754274114"
"濁点","Official鬍子男dism","Rejoice","All","Playlist","JPPC02411821","1754117476"
"記憶棉","MC 張天賦","記憶棉 - Single","All","Playlist","HKI492108203","1590828011"
"Waiting Life","Between Cities","Kaleidoscope - EP","All","Playlist","NLA7J2400004","1770784223"
"Grey (feat. Jaime Deraz)","Bllaine","Grey (feat. Jaime Deraz) - Single","All","Playlist","MXA3V2401011","1781226782"
"Immature","Milkoi & SYA SYA","Immature - Single","All","Playlist","UKZGC2402112","1733274922"
"Calami7ous","Halv","Calami7ous - Single","All","Playlist","TCJPC2420185","1773354686"
"流麗凛舞","K-forest","流麗凛舞 - Single","All","Playlist","JPW462442759","1767801607"
"Water","HALIENE & Kill the Noise","Water - EP","All","Playlist","GBEWA2405092","1805922335"
"Forever Weather","Elephante","Forever Weather - EP","All","Playlist","QZZ8A2414137","1771055202"
"Shine On","Roa","Shine On - Single","All","Playlist","QZTBF2465787","1768274005"
"Era.2967","Adomiori","Era.2967 - Single","All","Playlist","CAGOO2487329","1763955469"
"23:00, Enchanted","purini & NextLight","23:00, Enchanted - Single","All","Playlist","TCJPC2403138","1772074007"
"Monotone","YOASOBI","Monotone - Single","All","Playlist","JPP302400691","1770010492"
"All That Ends (feat. Sam Welch)","Trivecta","Find My Way","All","Playlist","GBEWA2404887","1806757614"
"THE SPACE IN BETWEEN","Star Seed","Magical Thinking","All","Playlist","GBEWA2404680","1805922709"
"I Smoke","Conor Matthews","42","All","Playlist","QM24S2405905","1769069083"
"The Bloodshine","Merle Gamelines","The Bloodshine - Single","All","Playlist","GBSMU9659884","1564240432"
"The Sadness","CHENDA & Harley Bird","Serenity","All","Playlist","QM24S2405621","1766518773"
"Haunted","Abandoned & Diana Inez","Haunted - Single","All","Playlist","QZNWY2497887","1760817294"
"Salvage","Abandoned & HYLIA","Salvage - Single","All","Playlist","QZTAZ2453151","1760715695"
"Said & Done (feat. Casey Cook)","Soar & Fancy Monster","Said & Done (feat. Casey Cook) - Single","All","Playlist","USA2P2452303","1761999562"
"I Want You To Know","Aaron Shirk & Kelsey Ray","I Want You To Know - Single","All","Playlist","QZWFE2400557","1768431789"
"Collide","William Black & Jazara","Collide - Single","All","Playlist","QZFPL2400145","1829772189"
"notre élan","ARForest","entr'acte","All","Playlist","QZMHP2445035","1769001787"
"back2u","uncalc","you make me - EP","All","Playlist","JP92N2446859","1772090959"
"Goodbye Goodnight","culenasm & QLER","Goodbye Goodnight - Single","All","Playlist","JPP302400683","1768907354"
"Future Sign (feat. 鏡音リン)","市瀬るぽ","aube","All","Playlist","JPE562006607","1554187089"
"Electric Dream","BB Yukus","Electric Dream - Single","All","Playlist","QZFYZ2014525","1496738838"
"Not Eternal","Couple N","Not Eternal - EP","All","Playlist","QZDA61828465","1409881417"
"Skelemental (feat. BB Yukus)","Electric Dad","Skelemental (feat. BB Yukus) - Single","All","Playlist","QZNWY2061753","1545221675"
"Dreamless (feat. Soneshiner)","Bedhair","Dreamless (feat. Soneshiner) - Single","All","Playlist","QZK6Q2180468","1574090623"
"Talk to you","Kohta Yamamoto","86―エイティシックス― オリジナル・サウンドトラック","All","Playlist","JPE302100532","1573697204"
"Underneath the Sky","Kohta Yamamoto","86―エイティシックス― オリジナル・サウンドトラック","All","Playlist","JPE302100533","1573697209"
"Alive Today","Kohta Yamamoto","86―エイティシックス― オリジナル・サウンドトラック","All","Playlist","JPE302100543","1573697479"
"Hear my voice","Kohta Yamamoto","86―エイティシックス― オリジナル・サウンドトラック","All","Playlist","JPE302100549","1573697595"
"境界線","amazarashi","七号線ロストボーイズ","All","Playlist","JPU902102765","1614421257"
"Clear Mountain Dub","Electric Dad","Vaquero / Clear Mountain Dub - Single","All","Playlist","QZMHN2327704","1693936524"
"Starblossom (feat. Kasane Teto)","Aika","Starblossom (feat. Kasane Teto) - Single","All","Playlist","QZWFT2436817","1775530727"
"Don't Turn Back (feat. Linney)","Elephante","Don't Turn Back (feat. Linney) - Single","All","Playlist","QZZ8A2423967","1775657079"
"Relics","ARForest","Antique - EP","All","Playlist","QZMHL2408882","1769774236"
"Pumpkin Trick","Kirara Magic","Pumpkin Trick - Single","All","Playlist","TCAIY2403349","1777769253"
"Stella Loop (feat. Hatsune Miku)","Capchii","Kawaii Overdose","All","Playlist","JP92Q2401096","1768185305"
"flyaway","uncalc","you make me - EP","All","Playlist","JP92N2446861","1772090961"
"Promise You","Assertive & HYPERLOCK","Promise You - Single","All","Playlist","QZWFQ2434452","1774043459"
"Usotoai (feat. Kuroto Sion)","technoplanet","Anachro","All","Playlist","JPR502417580","1776047473"
"Mag Mell","satella & Risa Yuzuki","Aetherion - Single","All","Playlist","TCJPC2403878","1777034249"
"Blue Light (feat. Hatsune Miku, 鏡音リン, Gackpoid & ANRI)","雨漏りP","Picaresque (feat. Hatsune Miku, 鏡音リン, Megpoid, ANRI & Gackpoid)","All","Playlist","JP92Q2401330","1775317448"
"If I Lost You","ARMNHMR","If I Lost You - Single","All","Playlist","CA6D22400634","1773030625"
"Heaven Feels Like","SLANDER & Fairlane","Heaven Feels Like - Single","All","Playlist","NL8RL2443766","1770584746"
"Crashing Down","Hoang & raph","Crashing Down - Single","All","Playlist","CA5KR2494406","1769585703"
"Hiraeth (feat. Jichu)","Miraie","Snow ♡ Library","All","Playlist","QZWFT2431046","1775434216"
"Angel","SHE'S","Memories","All","Playlist","JPPO02403423","1763559781"
"Another colony","TRUE","Another colony - Single","All","Playlist","JPI101802437","1749452408"
"メグルモノ","寺島拓篤","LAYERING","All","Playlist","JPI101900042","1838422405"
"PEACEKEEPER","STEREO DIVE FOUNDATION","STEREO DIVE 03","All","Playlist","JPI102400644","1775777403"
"Capslock","YOURNESS","ES - EP","All","Playlist","JPG101900458","1484807716"
"AprilBlue","AprilBlue","Blue Peter","All","Playlist","JPV501900478","1487475409"
"地上の花","Seventeen Years Old and Berlin Wall","Reflect - EP","All","Playlist","TCJPF1746793","1222811810"
"Brand new diary","Akane Kumada","世界が晴れたら","All","Playlist","JPI102100467","1838420419"
"Aeipathy","Kotori & Aika","Aeipathy - Single","All","Playlist","QZPJ32425147","1781052640"
"A New Path","Aika","A New Path - Single","All","Playlist","QZWFH2397764","1719098485"
"Among The Willows","Electric Dad","Among The Willows - Single","All","Playlist","QZS632577610","1781186760"
"Last Call","PLEEG & CrossTheHeart","Last Call - Single","All","Playlist","QM42K2581611","1781186979"
"Antique","ARForest","Antique - EP","All","Playlist","QM42K2496932","1769774237"
"Where In Heaven","Jason Ross & Dotter","Where In Heaven - Single","All","Playlist","GBEWA2406760","1805921003"
"#03","STEREO DIVE FOUNDATION","STEREO DIVE 03","All","Playlist","JPI102402902","1775777400"
"Ocean Avenue","STEVE AOKI & Yellowcard","Ocean Avenue - Single","All","Playlist","USDM32356401","1716324597"
"Already Gone","Hoang & Danny Olson","Already Gone - Single","All","Playlist","CA5KR2503377","1783704758"
"It Wasn't Okay","BoySam","It Wasn't Okay - Single","All","Playlist","QZS642503317","1782287850"
"Sunny Rain","Kirara Magic","Sunny Rain - Single","All","Playlist","TCAJB2478543","1785139309"
"enclosure","ARForest","entr'acte","All","Playlist","QZS642403048","1769001782"
"you are my heart (feat. utumiyqcom)","Miraie","you are my heart (feat. utumiyqcom) - Single","All","Playlist","QZZ7P2477159","1782562143"
"Most of My Heart","Cloudy Parallels, Orlost & GLNNA","Most of My Heart - Single","All","Playlist","TCAJB2438582","1784063845"
"I Don't Miss You Anymore","Elephante","COPE","All","Playlist","QZZ8A2423984","1778189759"
"Crying Out","Vellum & Gryxx","Crying Out - Single","All","Playlist","CAR072400326","1780437317"
"誰も気づかなくても","AprilBlue","誰も気づかなくても - Single","All","Playlist","JPV502400534","1782445077"
"明年夏天我們會不會還在一起","原子邦妮","明年夏天我們會不會還在一起 - Single","All","Playlist","TWAE32404384","1777021820"
"December","fox capture plan","DEEPER","All","Playlist","JPB622401325","1771772415"
"春雷","米津玄師","BOOTLEG","All","Playlist","JPU901702919","1538275665"
"Azalea","米津玄師","Azalea - Single","All","Playlist","JPU902403617","1776984411"
"Juice","Haxhigeaszy","Believe On Me","All","Playlist","UKTUY2151953","1761823810"
"彼方の破片 (feat. わかばやし)","*Luna","アステラリウム","All","Playlist","JP92N2462310","1787267779"
"Smiles Left Behind","nayuta","Echoes","All","Playlist","TCJPC2492671","1783308032"
"In Your Arms","YUKIYANAGI & savogy","In Your Arms - Single","All","Playlist","JP92N2458094","1783124174"
"Resound (feat. M0MORI) [Radio Edit]","Aethral","Resound (feat. M0MORI) [Radio Edit] - Single","All","Playlist","QT3EX2494952","1786682294"
"Breathless","RUQOA","Breathless - Single","All","Playlist","QZMHK2596252","1786961319"
"Mada","capo2","Mada - Single","All","Playlist","TCJPD2421101","1787131329"
"Debris of Twin Stars","紙崎ねい","Debris of Twin Stars - Single","All","Playlist","TCJPD2431617","1787678904"
"Picture","Aaron Shirk","Picture - Single","All","Playlist","QZZ7T2414001","1784593852"
"What I've Never Had","laikd","What I've Never Had - Single","All","Playlist","QZZ7Q2404020","1782695222"
"Fragrance","Mahiru & RINZO","Fragrance - Single","All","Playlist","TCJPY2339539","1720435309"
"Show me, ABC!!","Capchii & Hatsune Miku","Show me, ABC!! - Single","All","Playlist","JP92Q2401586","1784207249"
"Faster Than Light (From Stellaris Original Game Soundtrack) [Instrumental]","Paradox Interactive & Andreas Waldetoft","Stellaris (Original Game Soundtrack)","All","Playlist","TCACP1639768","1482151600"
"唐多令","陽春白雪","遊戲《陽春白雪》音樂集: 糖果先生 - EP","All","Playlist","TWCK12100051","1583710907"
"Quantum Theory","RENO, KJ Physical & NextLight","Quantum Theory - Single","All","Playlist","TCJPC2430100","1777951448"
"Message","Roa","Message - Single","All","Playlist","QZZ7W2400953","1785492064"
"It Should Be Me","Yellowtael","It Should Be Me - Single","All","Playlist","USA2P2477845","1786592215"
"一百個未老先衰的方法","MC 張天賦","一百個未老先衰的方法 - Single","All","Playlist","HKI492408217","1781053262"
"E.E.J","RAM(Koichi Yamazaki)","0.0.7","All","Playlist","QMDA62459295","1771798847"
"Kirakira Noel Story!!","Reku Mochizuki","Kirakira Noel Story!! - Single","All","Playlist","JPW462468220","1782741655"
"Ne M'oubliez Pas (feat. KillerBlood)","Triodust","Li An","All","Playlist","QZFZ52044506","1501492858"
"ドラマチックじゃなくても","花澤香菜","追憶と指先","All","Playlist","JPPC02213045","1735458648"
"未完成ランデヴー","Lezel","未完成ランデヴー - Single","All","Playlist","JPT552400002","1753840468"
"21g","LanPage","Ten Pages","All","Playlist","TCJPD2559591","1792373248"
"Have No Words","LanPage","Ten Pages","All","Playlist","TCJPD2559594","1792373255"
"NekovhParavh","Sad Keyboard Guy & Gardens","Procedural Reconstruction of a Forgotten Memory - EP","All","Playlist","TCAGE2215130","1620124531"
"紡ぐ","Tota","oidaki","All","Playlist","JPD862201369","1841492905"
"Sandersonia","PIKASONIC, iMeiden & 小花依ある","Sandersonia - Single","All","Playlist","TCJPD2550861","1791261842"
"Unbreakable","PIKASONIC","Unbreakable - Single","All","Playlist","QZZ7Q2453189","1782803179"
"いつも二人がいいね","ミラ(CV:小野友樹) & 深森白夜(CV:中原麻衣)","「かつて魔法少女と悪は敵対していた。」Music Collection","All","Playlist","JPT552400606","1767334422"
"星々の間で (Piano)","RUQOA","星々の間で - Single","All","Playlist","GX89G2580432","1790545095"
"Nights","Sowyn","Nights - Single","All","Playlist","QZFZ72550488","1791857788"
"Perfectionist (feat. ANRI Arcane)","Ferst","Perfectionist (feat. ANRI Arcane) - Single","All","Playlist","QZFZ32592780","1790696704"
"Memory","PYKAMIA","Story of Caine - EP","All","Playlist","TCAJG2514587","1793273570"
"Keep Me Waiting","Hoang, CHENDA & Olivver the Kid","Heartstrings","All","Playlist","CA5KR2500217","1786300316"
"what's the color of happiness?","Milkoi","Anime / Slice of Life","All","Playlist","UKZGC2408555","1777241610"
"Forever Young","Alan Walker","Forever Young - Single","All","Playlist","NOG842502010","1790845017"
"This Whole Time","SOWARDS & laikd","This Whole Time - Single","All","Playlist","QMDA72409802","1778431737"
"World Burn","Bllaine & Violyt","World Burn - Single","All","Playlist","QT3AJ2500013","1788862622"
"In The End","MitiS, AMIDY, Crystal Skies & Linney","In The End - Single","All","Playlist","GBEWA2500090","1805920506"
"Featherfall (Hyper Potions Remix)","Minecraft","Minecraft: Pixel Genesis","All","Playlist","USA2P2458593","1766333244"
"pokopoko (Synthion Remix)","Minecraft","Minecraft: Pixel Genesis","All","Playlist","USA2P2458597","1766333550"
"Deeper (Elliot Hsu Remix)","Minecraft","Minecraft: Pixel Genesis","All","Playlist","USA2P2458600","1766333562"
"Precipice (Hyper Potions Remix)","Minecraft","Minecraft: Pixel Genesis","All","Playlist","USA2P2458604","1766334111"
"mizuiro","Synthion & RuuChan","mizuiro - EP","All","Playlist","QM24S2500536","1793148279"
"Light Leak (feat. ChumuNote)","Capchii","Light Leak (feat. ChumuNote) - Single","All","Playlist","TCJPD2543023","1790182035"
"Better Off This Way","Cloudy Parallels, Complexive & Zhou","Better Off This Way - Single","All","Playlist","CA5KR2506957","1786298021"
"BOW AND ARROW","米津玄師","BOW AND ARROW - Single","All","Playlist","JPU902404585","1790607807"
"Beautiful Creatures (feat. MAX)","ILLENIUM","Awake","All","Playlist","USQY51766818","1701059538"
"Back To You","ILLENIUM & All Time Low","ILLENIUM","All","Playlist","USWB12207328","1660942594"
"Eyes Wide Shut","ILLENIUM, Avril Lavigne & Travis Barker","ILLENIUM","All","Playlist","USWB12207321","1660942176"
"Hold On","ILLENIUM & Georgia Ku","Ascend","All","Playlist","USUG11901634","1468053511"
"Sideways","ILLENIUM, Valerie Broussard & NURKO","Sideways - Single","All","Playlist","ZZOPM2105395","1564931033"
"Die With A Smile","Lady Gaga & Bruno Mars","Die With A Smile - Single","All","Playlist","USUM72409273","1762656732"
"BIRDS OF A FEATHER","Billie Eilish","HIT ME HARD AND SOFT","All","Playlist","USUM72401994","1739659142"
"Somebody to Love Me (feat. Lexi Scatena)","SABAI & Synymata","North Star","All","Playlist","CA5KR2472887","1754658096"
"This Passing Night","Sweet Dove","Ode to a Nightingale","All","Playlist","QZHN52030474","1516214100"
"Pictures (feat. 4s4ki)","Neko Hacker","Reincarnation - EP","All","Playlist","TCJPK2062142","1501330164"
"Purity for Life","PYKAMIA","Purity for Life - Single","All","Playlist","TCAJH2552678","1796135367"
"Innocence Keeper","Cansol","Innocence Keeper - Single","All","Playlist","QZFP52401840","1795867468"
"goodbye","nxvb","goodbye - Single","All","Playlist","QZDA72569146","1794034827"
"Ride on Time","MOKKAI","Ride on Time - Single","All","Playlist","QZFYZ2594660","1789749924"
